customer_id,first_name,last_name,email,signup_date,city
37,Hélène,Robert,customer_37@ecommerce.fr,2025-07-12,Strasbourg
38,Quentin,Roux,customer_38@ecommerce.fr,2025-01-26,Rennes
39,Zoé,Dupont,customer_39@ecommerce.fr,2024-08-06,Rennes
40,Bob,Robert,customer_40@ecommerce.fr,2025-10-18,Rennes
41,Gérard,Vincent,customer_41@ecommerce.fr,2024-06-24,Le Havre
42,Université,Robert,customer_42@ecommerce.fr,2025-12-27,Paris
43,Nicolas,Dupont,customer_43@ecommerce.fr,2024-09-14,Nantes
44,Marie,Laurent,customer_44@ecommerce.fr,2024-07-18,Lille
45,Alice,Fournier,customer_45@ecommerce.fr,2025-11-03,Rennes
46,Luc,Thomas,customer_46@ecommerce.fr,2026-02-28,Toulon
47,Sophie,Petit,customer_47@ecommerce.fr,2025-11-20,Nantes
48,Bob,Fournier,customer_48@ecommerce.fr,2025-09-06,Nice
49,Raphaël,Michel,customer_49@ecommerce.fr,2024-09-22,Paris
50,Luc,Bernard,customer_50@ecommerce.fr,2024-12-26,Saint-Étienne
51,Yannick,Dupont,customer_51@ecommerce.fr,2026-02-11,Lille
52,Jean,Vincent,customer_52@ecommerce.fr,2024-08-02,Toulon
53,Yannick,Fournier,customer_53@ecommerce.fr,2025-12-18,Toulouse
54,Xavier,Bernard,customer_54@ecommerce.fr,2025-09-08,Toulouse
55,Marie,Simon,customer_55@ecommerce.fr,2025-12-22,Paris
56,Karine,David,customer_56@ecommerce.fr,2025-03-08,Lille
57,Gérard,Vincent,customer_57@ecommerce.fr,2025-04-05,Saint-Étienne
58,Jean,Durand,customer_58@ecommerce.fr,2025-05-15,Toulon
59,Thomas,Dupont,customer_59@ecommerce.fr,2025-02-11,Reims
60,David,Petit,customer_60@ecommerce.fr,2026-03-13,Rennes
61,Wenya,Roux,customer_61@ecommerce.fr,2024-12-29,Nice
62,Université,Garcia,customer_62@ecommerce.fr,2024-07-03,Le Havre
63,Karine,Moreau,customer_63@ecommerce.fr,2025-09-25,Lyon
64,Marie,David,customer_64@ecommerce.fr,2026-04-05,Reims
65,Wenya,Garcia,customer_65@ecommerce.fr,2026-02-28,Bordeaux
66,Thomas,Robert,customer_66@ecommerce.fr,2025-10-30,Rennes
67,Yannick,Thomas,customer_67@ecommerce.fr,2025-05-01,Paris
68,Zoé,Robert,customer_68@ecommerce.fr,2025-04-16,Marseille
69,Olivier,Lefevre,customer_69@ecommerce.fr,2025-06-27,Reims
70,Marie,Dupont,customer_70@ecommerce.fr,2026-05-04,Toulon
71,Zoé,Moreau,customer_71@ecommerce.fr,2024-08-25,Nantes
72,Emma,Moreau,customer_72@ecommerce.fr,2024-12-16,Toulouse
73,Bob,Bertrand,customer_73@ecommerce.fr,2024-06-09,Reims
74,Bob,Laurent,customer_74@ecommerce.fr,2024-07-04,Reims
75,Hélène,Morel,customer_75@ecommerce.fr,2026-02-27,Nantes
76,David,David,customer_76@ecommerce.fr,2026-02-06,Lille
77,Karine,Lefebvre,customer_77@ecommerce.fr,2025-11-30,Strasbourg
78,Clara,Roux,customer_78@ecommerce.fr,2025-01-13,Bordeaux
79,Alice,Laurent,customer_79@ecommerce.fr,2024-10-10,Lyon
80,Thomas,Durand,customer_80@ecommerce.fr,2026-04-15,Strasbourg
81,Isabelle,Roux,customer_81@ecommerce.fr,2025-02-17,Marseille
82,Gérard,Roux,customer_82@ecommerce.fr,2024-09-15,Toulouse
83,Yannick,Michel,customer_83@ecommerce.fr,2024-08-06,Strasbourg
84,Nicolas,Dupont,customer_84@ecommerce.fr,2024-07-04,Toulouse
85,Karine,Roux,customer_85@ecommerce.fr,2025-08-01,Marseille
86,Yannick,Petit,customer_86@ecommerce.fr,2025-05-07,Le Havre
87,Thomas,Petit,customer_87@ecommerce.fr,2024-07-25,Marseille
88,Luc,Fournier,customer_88@ecommerce.fr,2026-04-12,Toulon
89,David,Petit,customer_89@ecommerce.fr,2024-07-05,Strasbourg
90,Victor,Martin,customer_90@ecommerce.fr,2026-05-06,Lille
91,Quentin,Petit,customer_91@ecommerce.fr,2025-12-09,Le Havre
92,Xavier,Thomas,customer_92@ecommerce.fr,2025-01-09,Saint-Étienne
93,Olivier,Simon,customer_93@ecommerce.fr,2026-03-21,Reims
94,Marie,Simon,customer_94@ecommerce.fr,2026-02-07,Rennes
95,Gérard,Lefebvre,customer_95@ecommerce.fr,2024-12-25,Paris
96,Olivier,Dupont,customer_96@ecommerce.fr,2024-09-17,Le Havre
97,Sophie,Petit,customer_97@ecommerce.fr,2024-09-23,Bordeaux
98,David,Durand,customer_98@ecommerce.fr,2025-09-16,Reims
99,Luc,Lefevre,customer_99@ecommerce.fr,2025-10-13,Nantes
100,Bob,Lefevre,customer_100@ecommerce.fr,2026-03-06,Toulouse
101,Thomas,Robert,customer_101@ecommerce.fr,2024-10-16,Rennes
102,Sophie,David,customer_102@ecommerce.fr,2024-12-08,Le Havre
103,Xavier,Michel,customer_103@ecommerce.fr,2025-05-20,Lille
104,Karine,Lefevre,customer_104@ecommerce.fr,2025-11-18,Toulouse
105,François,Laurent,customer_105@ecommerce.fr,2024-08-05,Paris
106,Gérard,Laurent,customer_106@ecommerce.fr,2025-12-03,Marseille
107,Raphaël,Bertrand,customer_107@ecommerce.fr,2026-02-19,Nice
108,Thomas,Durand,customer_108@ecommerce.fr,2024-07-20,Toulon
109,Victor,Vincent,customer_109@ecommerce.fr,2024-11-01,Saint-Étienne
110,Olivier,Durand,customer_110@ecommerce.fr,2025-11-21,Saint-Étienne
111,Alice,Vincent,customer_111@ecommerce.fr,2026-03-20,Saint-Étienne
112,Raphaël,Petit,customer_112@ecommerce.fr,2025-11-25,Le Havre
113,Sophie,Simon,customer_113@ecommerce.fr,2024-10-03,Lyon
114,Marie,Durand,customer_114@ecommerce.fr,2025-05-02,Nantes
115,Bob,Lefevre,customer_115@ecommerce.fr,2024-10-08,Rennes
116,Alice,Durand,customer_116@ecommerce.fr,2026-02-02,Saint-Étienne
117,Bob,Petit,customer_117@ecommerce.fr,2026-03-22,Paris
118,Victor,Thomas,customer_118@ecommerce.fr,2026-04-27,Paris
119,Yannick,Simon,customer_119@ecommerce.fr,2025-01-22,Strasbourg
120,Luc,Michel,customer_120@ecommerce.fr,2025-04-06,Rennes
